,receiver_artery_id,receiver_sumo_id,receiver_long,receiver_lat,receiver_speed,Protocol Version,Message ID,Station ID,CoopAwarensess,Generation Delta Time,Station Type,Longitude,Latitude,Semi Major Orientation,Semi Major Confidence,Semi Minor Confidence,Drive Direction,Longitudinal Acceleration,Vehicle Width,Curvature Calculation Mode,Altitude,Altitude_Confidence,Heading,Heading_Confidence,Speed,Speed_Confidence,Vehicle_Length,Vehicle_Length_Confidence,Curvature,Curvature_Confidence,Yaw_Rate,Yaw_Rate_Confidence,pos_x,pos_y,ssc,estimated_spd,speed diff
16,2357136044,0,-55.4887,-0.00267994,4.38747,2,2,2783877012, ,9576,5,-55.489256,-0.003048,3601,4095,4095,0,2.0,62.0,0,800001.0,15.0,2189.0,10.0,25.0,3.0,1023.0,0.0,0.0,7.0,0.0,0.0,445.8585243352386,85.82063282303903,False,,
17,1819583497,1,-55.4885,0.000752391,2.49356,2,2,2774094101, ,9596,5,-55.487589,0.00178,3601,4095,4095,0,-8.0,62.0,0,800001.0,15.0,1923.0,10.0,500.0,3.0,1023.0,0.0,107.0,7.0,0.0,0.0,631.9279195089289,621.112588723764,True,110.87224085666759,389.1277591433324
18,2774094101,carla0,-55.4876,0.00177959,5.00309,2,2,1819583497, ,9596,5,-55.488503,0.000752,3601,4095,4095,0,1.0,62.0,0,800001.0,15.0,372.0,10.0,249.0,3.0,1023.0,0.0,123.0,7.0,-300.0,0.0,529.9074674909748,507.136030228792,False,231.5457505023172,17.45424949768281
19,2783877012,2,-55.4893,-0.0030479,0.403933,2,2,2357136044, ,9636,5,-55.48872,-0.002678,3601,4095,4095,0,1.0,62.0,0,800001.0,15.0,214.0,10.0,450.0,3.0,1023.0,0.0,51.0,7.0,100.0,0.0,505.6865114526986,126.8436758135901,False,,
20,2357136044,0,-55.4887,-0.0026761,4.58437,2,2,2783877012, ,9676,5,-55.489257,-0.003048,3601,4095,4095,0,2.0,62.0,0,800001.0,15.0,2190.0,10.0,50.0,3.0,1023.0,0.0,0.0,7.0,0.0,0.0,445.74690461442106,85.82063235681665,False,111.61972081851722,-61.61972081851722
21,1819583497,1,-55.4885,0.000754223,2.70374,2,2,2774094101, ,9696,5,-55.487589,0.001778,3601,4095,4095,0,-8.0,62.0,0,800001.0,15.0,1922.0,10.0,410.0,3.0,1023.0,0.0,40.0,7.0,100.0,0.0,631.9279189684707,620.8908442420515,False,221.74448171322106,188.25551828677894
22,2357136044,0,-55.4887,-0.0026713,4.7936,2,2,2783877012, ,9796,5,-55.489257,-0.003049,3601,4095,4095,0,2.0,62.0,0,800001.0,15.0,2190.0,10.0,79.0,3.0,1023.0,0.0,0.0,7.0,0.0,0.0,445.7469050775794,85.70975986086984,False,92.39374662314592,-13.393746623145915
23,1819583497,1,-55.4885,0.00075619,2.90207,2,2,2774094101, ,9796,5,-55.487589,0.001778,3601,4095,4095,0,-9.0,62.0,0,800001.0,15.0,1921.0,10.0,320.0,3.0,1023.0,0.0,0.0,7.0,100.0,0.0,631.9279189684707,620.8908442420515,True,0.0,320.0
24,2774094101,carla0,-55.4876,0.00177745,3.02309,2,2,1819583497, ,9816,5,-55.488499,0.000757,3601,4095,4095,0,2.0,62.0,0,800001.0,15.0,379.0,10.0,295.0,3.0,1023.0,0.0,172.0,7.0,-300.0,0.0,530.3539464823366,507.6903916688247,False,323.54572783539874,-28.545727835398736
25,1819583497,1,-55.4885,0.000758299,3.09933,2,2,2774094101, ,9896,5,-55.487589,0.001777,3601,4095,4095,0,-9.0,62.0,0,800001.0,15.0,1920.0,10.0,230.0,3.0,1023.0,0.0,24.0,7.0,100.0,0.0,631.9279186985618,620.7799720011951,False,110.8722408566666,119.1277591433334
26,2783877012,2,-55.4893,-0.00304919,1.03462,2,2,2357136044, ,9896,5,-55.488716,-0.002667,3601,4095,4095,0,2.0,62.0,0,800001.0,15.0,210.0,10.0,501.0,3.0,1023.0,0.0,53.0,7.0,100.0,0.0,506.1329855382023,128.06327399710096,False,499.5203080982527,1.4796919017472874
27,2357136044,0,-55.4887,-0.00266711,5.01351,2,2,2783877012, ,9896,5,-55.489258,-0.003049,3601,4095,4095,0,2.0,62.0,0,800001.0,15.0,2190.0,10.0,103.0,3.0,1023.0,0.0,0.0,7.0,0.0,0.0,445.6352853571111,85.70975939449431,False,111.61972046927191,-8.619720469271911
28,1819583497,1,-55.4885,0.000760536,3.3035,2,2,2774094101, ,9996,5,-55.487589,0.001776,3601,4095,4095,0,2.0,62.0,0,800001.0,15.0,1919.0,10.0,169.0,3.0,1023.0,0.0,57.0,7.0,200.0,0.0,631.9279184289439,620.6690997603388,False,110.87224085666588,58.12775914333412
29,2774094101,carla0,-55.4876,0.00177465,1.40702,2,2,1819583497, ,10076,5,-55.488494,0.000762,3601,4095,4095,0,1.0,62.0,0,800001.0,15.0,388.0,10.0,347.0,3.0,1023.0,0.0,190.0,7.0,-400.0,0.0,530.9120450771111,508.2447529862049,False,302.5509179349973,44.4490820650027
30,1819583497,1,-55.4885,0.000762922,3.5129,2,2,2774094101, ,10096,5,-55.48759,0.001774,3601,4095,4095,0,-8.0,62.0,0,800001.0,15.0,1917.0,10.0,123.0,3.0,1023.0,0.0,94.0,7.0,100.0,0.0,631.8162984259357,620.4473555498756,False,248.2529354217151,-125.25293542171511
31,2357136044,0,-55.4887,-0.00265639,5.44938,2,2,2783877012, ,10136,5,-55.489259,-0.003051,3601,4095,4095,0,1.0,62.0,0,800001.0,15.0,2192.0,10.0,156.0,3.0,1023.0,0.0,83.0,7.0,-100.0,0.0,445.5236665634834,85.48801393561348,False,103.4389611554879,52.5610388445121
32,2783877012,2,-55.4893,-0.00305152,1.60474,2,2,2357136044, ,10156,5,-55.488712,-0.002655,3601,4095,4095,0,1.0,62.0,0,800001.0,15.0,208.0,10.0,548.0,3.0,1023.0,0.0,38.0,7.0,100.0,0.0,506.5794592349371,129.39374457973958,False,539.7636362420859,8.236363757914091
33,1819583497,1,-55.4885,0.000765414,3.67622,2,2,2774094101, ,10196,5,-55.48759,0.001773,3601,4095,4095,0,21.0,62.0,0,800001.0,15.0,1916.0,10.0,166.0,3.0,1023.0,0.0,121.0,7.0,100.0,0.0,631.8162981566088,620.3364833088664,False,110.87224100957398,55.12775899042602
34,1819583497,1,-55.4885,0.00076801,3.84947,2,2,2774094101, ,10296,5,-55.48759,0.001771,3601,4095,4095,0,-9.0,62.0,0,800001.0,15.0,1913.0,10.0,316.0,3.0,1023.0,0.0,137.0,7.0,300.0,0.0,631.8162976183044,620.1147388268479,False,221.7444820191471,94.25551798085289
35,2774094101,carla0,-55.4876,0.00177078,2.98339,2,2,1819583497, ,10316,5,-55.488489,0.000769,3601,4095,4095,0,1.0,62.0,0,800001.0,15.0,398.0,10.0,389.0,3.0,1023.0,0.0,195.0,7.0,-200.0,0.0,531.4701439056475,509.0208590529038,False,398.30694847688306,-9.306948476883065
36,2357136044,0,-55.4887,-0.0026457,5.8824,2,2,2783877012, ,10356,5,-55.489262,-0.003054,3601,4095,4095,0,1.0,62.0,0,800001.0,15.0,2194.0,10.0,203.0,3.0,1023.0,0.0,80.0,7.0,0.0,0.0,445.18880879114613,85.15539504543364,False,214.53633156602712,-11.536331566027116
37,1819583497,1,-55.4885,0.000770731,4.06895,2,2,2774094101, ,10396,5,-55.48759,0.001771,3601,4095,4095,0,-9.0,62.0,0,800001.0,15.0,1914.0,10.0,226.0,3.0,1023.0,0.0,91.0,7.0,-100.0,0.0,631.8162976183044,620.1147388268479,False,0.0,226.0
38,2783877012,2,-55.4893,-0.00305484,2.14235,2,2,2357136044, ,10416,5,-55.488707,-0.002643,3601,4095,4095,0,2.0,62.0,0,800001.0,15.0,203.0,10.0,600.0,3.0,1023.0,0.0,45.0,7.0,200.0,0.0,507.13755258764604,130.72421555191795,False,554.9163269389653,45.08367306103469
39,1819583497,1,-55.4885,0.000773532,4.23453,2,2,2774094101, ,10496,5,-55.48759,0.00177,3601,4095,4095,0,2.0,62.0,0,800001.0,15.0,1913.0,10.0,269.0,3.0,1023.0,0.0,66.0,7.0,200.0,0.0,631.8162973494432,620.0038665858388,False,110.87224100945916,158.12775899054083
40,454869706,3,-55.4877,-0.00034526,0.0517573,2,2,2774094101, ,10496,5,-55.48759,0.00177,3601,4095,4095,0,2.0,62.0,0,800001.0,15.0,1913.0,10.0,269.0,3.0,1023.0,0.0,66.0,7.0,200.0,0.0,631.8162973494432,620.0038665858388,False,110.87224100945916,158.12775899054083
41,1819583497,1,-55.4885,0.000775864,4.39739,2,2,454869706, ,10576,5,-55.487714,-0.000345,3601,4095,4095,0,2.0,62.0,0,800001.0,15.0,910.0,10.0,26.0,3.0,1023.0,0.0,0.0,7.0,0.0,0.0,617.9752537432755,385.5090703106869,False,,
42,2774094101,carla0,-55.4876,0.00176955,1.97153,2,2,454869706, ,10576,5,-55.487714,-0.000345,3601,4095,4095,0,2.0,62.0,0,800001.0,15.0,910.0,10.0,26.0,3.0,1023.0,0.0,0.0,7.0,0.0,0.0,617.9752537432755,385.5090703106869,False,,
43,2357136044,0,-55.4887,-0.00263416,6.32968,2,2,454869706, ,10576,5,-55.487714,-0.000345,3601,4095,4095,0,2.0,62.0,0,800001.0,15.0,910.0,10.0,26.0,3.0,1023.0,0.0,0.0,7.0,0.0,0.0,617.9752537432755,385.5090703106869,False,,
44,2774094101,carla0,-55.4876,0.00176955,1.97153,2,2,1819583497, ,10576,5,-55.488483,0.000776,3601,4095,4095,0,1.0,62.0,0,800001.0,15.0,408.0,10.0,440.0,3.0,1023.0,0.0,174.0,7.0,-400.0,0.0,532.1398623389937,509.79696499022157,False,394.2754582369686,45.724541763031425
45,454869706,3,-55.4877,-0.000345263,0.257104,2,2,1819583497, ,10576,5,-55.488483,0.000776,3601,4095,4095,0,1.0,62.0,0,800001.0,15.0,408.0,10.0,440.0,3.0,1023.0,0.0,174.0,7.0,-400.0,0.0,532.1398623389937,509.79696499022157,False,394.2754582369686,45.724541763031425
46,2357136044,0,-55.4887,-0.00263306,6.35827,2,2,2783877012, ,10596,5,-55.489265,-0.003058,3601,4095,4095,0,2.0,62.0,0,800001.0,15.0,2195.0,10.0,251.0,3.0,1023.0,0.0,44.0,7.0,0.0,0.0,444.8539514832478,84.7119036553292,False,231.54599290755323,19.454007092446773
47,1819583497,1,-55.4885,0.000776461,4.44278,2,2,2774094101, ,10596,5,-55.48759,0.00177,3601,4095,4095,0,-8.0,62.0,0,800001.0,15.0,1912.0,10.0,179.0,3.0,1023.0,0.0,62.0,7.0,0.0,0.0,631.8162973494432,620.0038665858388,False,0.0,179.0
48,454869706,3,-55.4877,-0.000345264,0.306939,2,2,2774094101, ,10596,5,-55.48759,0.00177,3601,4095,4095,0,-8.0,62.0,0,800001.0,15.0,1912.0,10.0,179.0,3.0,1023.0,0.0,62.0,7.0,0.0,0.0,631.8162973494432,620.0038665858388,False,0.0,179.0
49,2783877012,2,-55.4893,-0.00305909,2.68866,2,2,2357136044, ,10676,5,-55.488703,-0.002629,3601,4095,4095,0,1.0,62.0,0,800001.0,15.0,199.0,10.0,650.0,3.0,1023.0,0.0,44.0,7.0,200.0,0.0,507.58402552354846,132.2764309257767,False,621.2116726282493,28.78832737175071
